Descriptor                     coef    stderr          t      pvals      y      z
ATSC5Z            -0.0027      0.001     -3.364      0.003      -0.004      -0.001
ATSC6Z             0.0027      0.002      1.743      0.094      -0.001       0.006
ATSC7Z             0.0021      0.001      2.268      0.033       0.000       0.004
ATSC8Z            -0.0007      0.001     -0.542      0.593      -0.003       0.002
ATSC0m             0.0022      0.001      2.371      0.026       0.000       0.004
ATSC1m             0.0013      0.000      4.137      0.000       0.001       0.002
ATSC2m            -0.0041      0.002     -2.319      0.029      -0.008      -0.000
ATSC3m             0.0084      0.005      1.629      0.116      -0.002       0.019
ATSC4m             0.0046      0.003      1.580      0.127      -0.001       0.011
ATSC5m            -0.0105      0.003     -3.177      0.004      -0.017      -0.004
ATSC6m             0.0112      0.006      1.843      0.078      -0.001       0.024
ATSC7m             0.0096      0.004      2.323      0.029       0.001       0.018
ATSC8m            -0.0028      0.007     -0.409      0.686      -0.017       0.011
ATSC0v             0.0014      0.001      1.931      0.065   -9.72e-05       0.003
ATSC1v             0.0026      0.001      2.040      0.052      -3e-05       0.005
ATSC2v             0.0140      0.003      4.020      0.001       0.007       0.021
ATSC3v            -0.0139      0.004     -3.321      0.003      -0.023      -0.005
ATSC4v            -0.0162      0.004     -3.894      0.001      -0.025      -0.008
ATSC5v             0.0077      0.002      4.042      0.000       0.004       0.012
ATSC6v             0.0034      0.002      1.570      0.130      -0.001       0.008
ATSC7v            -0.0023      0.003     -0.730      0.472      -0.009       0.004
ATSC8v             0.0064      0.003      2.009      0.056      -0.000       0.013
ATSC0se         4.661e-05   3.28e-05      1.420      0.168   -2.11e-05       0.000
ATSC1se         1.418e-05   1.45e-05      0.975      0.339   -1.58e-05    4.42e-05
ATSC2se          3.69e-05   3.21e-05      1.150      0.261   -2.93e-05       0.000
ATSC3se         2.392e-05      0.000      0.202      0.841      -0.000       0.000
ATSC4se         4.742e-05   3.28e-05      1.444      0.162   -2.04e-05       0.000
ATSC5se         1.421e-05   2.67e-05      0.533      0.599   -4.09e-05    6.93e-05
ATSC6se         6.707e-05      0.000      0.490      0.628      -0.000       0.000
ATSC7se         6.844e-05   5.99e-05      1.143      0.264   -5.51e-05       0.000
ATSC8se           2.7e-05   2.11e-05      1.279      0.213   -1.66e-05    7.06e-05
ATSC0pe         6.713e-05   3.57e-05      1.882      0.072   -6.47e-06       0.000
ATSC1pe          9.12e-06   1.65e-05      0.554      0.585   -2.49e-05    4.31e-05
ATSC2pe         2.432e-05   4.81e-05      0.506      0.617   -7.49e-05       0.000
ATSC3pe         2.103e-05      0.000      0.130      0.898      -0.000       0.000
ATSC4pe          6.79e-05   5.21e-05      1.303      0.205   -3.96e-05       0.000
ATSC5pe         7.032e-07   2.27e-05      0.031      0.976   -4.62e-05    4.76e-05
ATSC6pe         4.149e-05      0.000      0.277      0.784      -0.000       0.000
ATSC7pe         8.145e-05      0.000      0.806      0.428      -0.000       0.000
ATSC8pe         4.119e-05   1.46e-05      2.816      0.010     1.1e-05    7.14e-05
ATSC0are        8.934e-05    4.1e-05      2.181      0.039     4.8e-06       0.000
ATSC1are        1.086e-05   2.41e-05      0.450      0.657    -3.9e-05    6.07e-05
ATSC2are         3.06e-05   4.64e-05      0.660      0.515   -6.51e-05       0.000
ATSC3are        1.331e-05      0.000      0.070      0.945      -0.000       0.000
ATSC4are        7.378e-05   4.77e-05      1.547      0.135   -2.46e-05       0.000
ATSC5are        3.683e-06   2.38e-05      0.155      0.878   -4.53e-05    5.27e-05
ATSC6are        4.381e-05      0.000      0.222      0.826      -0.000       0.000
