Descriptor                     coef    stderr          t      pvals      y      z
GGI7            1.648e-07   7.75e-07      0.213      0.833   -1.43e-06    1.76e-06
GGI8            1.079e-06   1.22e-06      0.882      0.387   -1.45e-06    3.61e-06
GGI9           -1.857e-08   6.01e-07     -0.031      0.976   -1.26e-06    1.22e-06
GGI10          -1.846e-07   1.46e-07     -1.262      0.219   -4.86e-07    1.17e-07
JGI1           -3.403e-06   3.94e-06     -0.863      0.397   -1.15e-05    4.73e-06
JGI2            1.008e-06   4.21e-07      2.392      0.025    1.38e-07    1.88e-06
JGI3            1.442e-06   5.49e-07      2.628      0.015     3.1e-07    2.57e-06
JGI4            6.381e-10   1.07e-06      0.001      1.000   -2.21e-06    2.21e-06
JGI5           -1.785e-07   4.67e-07     -0.382      0.706   -1.14e-06    7.85e-07
JGI6            3.757e-07   3.93e-07      0.956      0.348   -4.35e-07    1.19e-06
JGI7           -7.581e-09    1.2e-07     -0.063      0.950   -2.55e-07     2.4e-07
JGI8           -4.388e-07   6.68e-07     -0.657      0.517   -1.82e-06     9.4e-07
JGI9            1.146e-08   1.35e-07      0.085      0.933   -2.67e-07     2.9e-07
JGI10          -6.835e-07   3.19e-07     -2.143      0.042   -1.34e-06   -2.53e-08
JGT10          -1.874e-06   4.91e-06     -0.382      0.706    -1.2e-05    8.26e-06
Diameter        -1.19e-07   5.05e-07     -0.236      0.816   -1.16e-06    9.23e-07
Radius          -1.19e-07   5.05e-07     -0.236      0.816   -1.16e-06    9.23e-07
TopoShapeIndex          0          0        nan        nan           0           0
PetitjeanIndex          0          0        nan        nan           0           0
Vabc           -8.303e-05   5.72e-05     -1.453      0.159      -0.000    3.49e-05
VAdjMat        -2.157e-05   6.73e-06     -3.202      0.004   -3.55e-05   -7.67e-06
MWC01          -1.628e-16   2.14e-16     -0.759      0.455   -6.05e-16     2.8e-16
MWC02          -1.449e-05   4.92e-06     -2.946      0.007   -2.46e-05   -4.34e-06
MWC03          -1.364e-05   4.57e-06     -2.985      0.006   -2.31e-05   -4.21e-06
MWC04          -1.331e-05   4.68e-06     -2.845      0.009    -2.3e-05   -3.65e-06
MWC05           -1.27e-05   4.52e-06     -2.811      0.010    -2.2e-05   -3.37e-06
MWC06          -1.238e-05   4.49e-06     -2.758      0.011   -2.16e-05   -3.12e-06
MWC07          -1.187e-05   4.45e-06     -2.670      0.013   -2.11e-05   -2.69e-06
MWC08          -1.162e-05   4.39e-06     -2.645      0.014   -2.07e-05   -2.55e-06
MWC09           -1.12e-05   4.41e-06     -2.540      0.018   -2.03e-05    -2.1e-06
MWC10            -1.1e-05   4.36e-06     -2.520      0.019      -2e-05   -1.99e-06
TMWC10            -0.0001   4.07e-05     -2.757      0.011      -0.000   -2.82e-05
SRW02          -1.451e-05   4.53e-06     -3.206      0.004   -2.39e-05   -5.17e-06
SRW03                   0          0        nan        nan           0           0
SRW04          -1.447e-05   5.02e-06     -2.881      0.008   -2.48e-05    -4.1e-06
SRW05          -3.624e-15   1.54e-14     -0.236      0.816   -3.53e-14    2.81e-14
SRW06          -1.396e-05   4.78e-06     -2.918      0.008   -2.38e-05   -4.09e-06
SRW07          -6.587e-15   2.79e-14     -0.236      0.816   -6.43e-14    5.11e-14
SRW08           -1.32e-05   4.53e-06     -2.911      0.008   -2.26e-05   -3.84e-06
SRW09           5.309e-08   2.32e-08      2.289      0.031    5.21e-09    1.01e-07
SRW10          -1.254e-05   4.43e-06     -2.830      0.009   -2.17e-05   -3.39e-06
TSRW10         -6.862e-05   2.32e-05     -2.956      0.007      -0.000   -2.07e-05
MW             -6.949e-05   2.99e-05     -2.325      0.029      -0.000   -7.81e-06
AMW             1.896e-05   1.47e-05      1.291      0.209   -1.14e-05    4.93e-05
WPath            5.42e-08   1.15e-07      0.471      0.642   -1.84e-07    2.92e-07
WPol             2.33e-05   1.45e-05      1.602      0.122   -6.71e-06    5.33e-05
Zagreb1         2.487e-05   1.75e-05      1.419      0.169   -1.13e-05     6.1e-05
Zagreb2         4.817e-05   3.18e-05      1.515      0.143   -1.74e-05       0.000
mZagreb2        -3.89e-07   7.56e-07     -0.514      0.612   -1.95e-06    1.17e-06
